,Area:,Population:,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,med rent,neighborhood,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage
0,0.019,4,21.0 people,1.7,1.7,2,36.7 years,30.7 years,"$65,332",$853,"Alanda neighborhood in Raleigh, NC",48.6%,38.8%,48.3%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,8.5%,96.9%
1,0.089,12,2.2 people,88.6%,1.9,6,37.9 years,38.0 years,"$77,721","$1,159","Alexander Place Townhomes neighborhood in Raleigh, NC",0.6%,39.4%,39.2%,50.2%,1.9,56.5%,7.4%,10.0%,12.6%,52.6%,7.9%,"$199,712"
2,0.025,55,2.1 people,1.2,2.2,28,59.9 years,57.1 years,"$99,318",$872,"Alexandria Square neighborhood in Raleigh, NC",54.2%,39.7%,47.0%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.2%,73.4%
3,0.005,29,2.4 people,1.7,1.7,10,24.0 years,33.5 years,"$45,978",$677,"Alpha neighborhood in Raleigh, NC",38.7%,53.3%,7.9%,60.8%,7.7%,34.3%,0.3%,41.0%,17.5%,0.0%,33.8%,87.7%
4,0.091,55,2.3 people,1.7,1.8,26,40.8 years,36.0 years,"$53,929",$895,"Amberfield neighborhood in Raleigh, NC",42.0%,45.8%,25.0%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,19.1%,86.6%
5,0.026,71,2.5 people,1.3,2.1,33,32.6 years,30.9 years,"$34,719",$693,"Ammondale neighborhood in Raleigh, NC",30.5%,43.2%,23.9%,60.2%,25.0%,40.0%,1.3%,17.8%,17.6%,4.7%,11.2%,84.7%
6,0.027,33,2.3 people,1.6,2.2,15,41.3 years,42.4 years,"$76,395","$1,454","Anderson Forest neighborhood in Raleigh, NC",30.2%,64.5%,35.0%,41.9%,4.6%,63.0%,0.7%,12.8%,14.3%,0.0%,5.9%,57.3%
7,0.370,964,2.8 people,1.9,2.3,485,39.2 years,45.1 years,"$161,702","$1,125","Anderson Heights neighborhood in Raleigh, NC",32.7%,62.0%,32.5%,66.2%,3.2%,77.0%,2.2%,8.5%,6.8%,0.0%,1.8%,72.3%
8,0.116,209,3.1 people,1.0,1.6,112,39.2 years,27.4 years,"$28,530",$736,"Appollo Heights neighborhood in Raleigh, NC",24.3%,67.6%,15.0%,32.1%,7.6%,19.6%,0.5%,24.4%,25.2%,6.6%,13.2%,79.2%
9,0.043,15,2.3 people,1.1,1.6,6,37.8 years,36.2 years,"$54,200",$795,"Arbor Chase neighborhood in Raleigh, NC",39.7%,36.8%,26.0%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,0.0%,19.1%,81.9%
10,0.025,14,2.9 people,5.7%,5.0%,7,41.4 years,56.7 years,"$73,249",$710,"Arbor Ridge neighborhood in Raleigh, NC",61.1%,1.5,31.2%,37.0%,259.8,47.0%,"$235,610",10.0%,21.0%,1.9,0.0%,3.7%
11,0.062,8,2.2 people,88.6%,1.9,4,37.9 years,38.0 years,"$77,721","$1,159","Arbor at Harrington Grove neighborhood in Raleigh, NC",0.6%,39.4%,40.9%,50.2%,1.9,56.5%,7.4%,10.0%,12.6%,52.6%,8.3%,"$200,018"
12,0.042,52,28.0 people,1.4,1.8,18,25.7 years,30.3 years,"$46,470",$823,"Arden Forest neighborhood in Raleigh, NC",46.3%,42.9%,28.2%,34.8%,10.3%,31.2%,0.6%,26.7%,17.9%,0.0%,19.9%,65.3%
13,0.039,105,2.6 people,1.6,2.1,47,44.8 years,48.3 years,"$120,583",$853,"Arlington Hills neighborhood in Raleigh, NC",52.6%,40.0%,37.4%,62.3%,6.6%,77.1%,0.7%,7.1%,6.0%,0.0%,0.8%,78.7%
14,0.003,8,2.5 people,1.5,2.2,4,38.2 years,36.3 years,"$112,273","$1,027","Arlington Place neighborhood in Raleigh, NC",36.5%,59.7%,43.8%,43.5%,3.0%,58.2%,0.8%,14.0%,11.1%,0.0%,1.1%,61.6%
15,0.049,13,3.0 people,11.3,2.6,6,41.7 years,42.8 years,"$101,250",$623,"Arrowspring neighborhood in Raleigh, NC",31.9%,62.2%,35.1%,65.2%,5.5%,77.3%,0.5%,13.7%,8.6%,0.0%,9.3%,84.1%
16,0.056,16,39.5 people,1.0,2.3,7,25.7 years,46.0 years,"$51,273",$619,"Ashebrook neighborhood in Raleigh, NC",30.0%,59.7%,27.8%,49.7%,7.4%,53.3%,2.9%,22.3%,8.4%,0.0%,6.7%,90.6%
17,0.056,16,39.5 people,1.0,2.3,7,25.7 years,46.0 years,"$51,273",$619,"Ashebrook neighborhood in Raleigh, NC",30.0%,59.7%,27.8%,49.7%,7.4%,53.3%,2.9%,22.3%,8.4%,0.0%,6.7%,90.6%
18,0.002,6,2.5 people,1.5,2.2,3,38.2 years,36.3 years,"$112,273","$1,027","Ashland Place neighborhood in Raleigh, NC",36.5%,59.7%,41.7%,43.5%,3.0%,58.2%,0.8%,14.0%,11.1%,0.0%,1.1%,61.6%
